epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3443.63,0.5555,0.42469,0.98344,0.95483,0.92896,0.9684,0.90016,0.39593,0.29897,0.84123,0.008086,0.008086,0.008086
60,3500.72,0.54677,0.41889,0.98371,0.98166,0.97588,0.98664,0.95335,0.29439,0.19388,0.76294,0.008053,0.008053,0.008053
61,3556.86,0.5494,0.42064,0.98185,0.95219,0.95514,0.98082,0.94144,0.30554,0.26729,0.766,0.00802,0.00802,0.00802
62,3613.48,0.553,0.42553,0.98243,0.96084,0.94799,0.98419,0.94328,0.30978,0.25962,0.76991,0.007987,0.007987,0.007987
63,3670.35,0.54936,0.41991,0.98266,0.97801,0.96364,0.98599,0.93689,0.32251,0.22583,0.77758,0.007954,0.007954,0.007954
64,3726.89,0.54526,0.42035,0.97687,0.9326,0.9177,0.95489,0.87903,0.42026,0.31713,0.86196,0.007921,0.007921,0.007921
65,3783.84,0.54809,0.41497,0.98173,0.98817,0.98192,0.98846,0.95599,0.29075,0.18271,0.76046,0.007888,0.007888,0.007888
66,3839.7,0.54236,0.40963,0.97812,0.99065,0.98093,0.98871,0.95721,0.29266,0.17588,0.75894,0.007855,0.007855,0.007855
67,3895.62,0.54602,0.41282,0.97946,0.95888,0.87873,0.9598,0.88745,0.39225,0.41598,0.82021,0.007822,0.007822,0.007822
68,3952.64,0.54751,0.42116,0.97994,0.95682,0.9401,0.97909,0.93527,0.32547,0.28413,0.77688,0.007789,0.007789,0.007789
69,4009.25,0.54017,0.4076,0.9775,0.94298,0.91788,0.97306,0.92495,0.32591,0.32302,0.78087,0.007756,0.007756,0.007756
70,4065.9,0.54617,0.4201,0.97941,0.93467,0.84654,0.92359,0.86346,0.40286,0.45506,0.857,0.007723,0.007723,0.007723
71,4122.4,0.54228,0.41126,0.97887,0.98581,0.98008,0.98831,0.95356,0.30212,0.18341,0.76411,0.00769,0.00769,0.00769
72,4179.02,0.54209,0.4153,0.98003,0.9876,0.97818,0.98864,0.9548,0.29405,0.18355,0.76096,0.007657,0.007657,0.007657
73,4235.5,0.53957,0.4097,0.97703,0.96978,0.95682,0.98562,0.94791,0.30127,0.22808,0.76702,0.007624,0.007624,0.007624
