epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,24032.9,0.60102,0.45945,1.07958,0.99402,0.9891,0.99031,0.97817,0.21918,0.11705,0.75678,0.0067825,0.0067825,0.0067825
67,24378,0.58997,0.44978,1.07532,0.99395,0.9889,0.99031,0.97826,0.21901,0.11706,0.7567,0.006733,0.006733,0.006733
68,24703.1,0.59011,0.45229,1.07324,0.9937,0.98932,0.99026,0.97825,0.21894,0.11696,0.7566,0.0066835,0.0066835,0.0066835
69,25028.6,0.59553,0.46104,1.07829,0.99359,0.9894,0.99029,0.97823,0.21866,0.11694,0.75653,0.006634,0.006634,0.006634
70,25372.9,0.59207,0.45049,1.0765,0.99351,0.98944,0.99028,0.97834,0.21831,0.11665,0.75645,0.0065845,0.0065845,0.0065845
71,25691.2,0.59012,0.45136,1.0732,0.99361,0.98937,0.9903,0.97842,0.21818,0.11673,0.7564,0.006535,0.006535,0.006535
72,26019.5,0.59297,0.45489,1.07605,0.99388,0.98927,0.99031,0.97856,0.21812,0.1167,0.75641,0.0064855,0.0064855,0.0064855
73,26342.8,0.59302,0.45372,1.07305,0.99355,0.98934,0.99036,0.97858,0.218,0.11663,0.7564,0.006436,0.006436,0.006436
74,26680,0.58759,0.44714,1.07079,0.99331,0.98939,0.99035,0.97853,0.21783,0.1165,0.7563,0.0063865,0.0063865,0.0063865
75,27010.7,0.59032,0.44371,1.07282,0.99345,0.98933,0.99033,0.97874,0.21757,0.1164,0.75614,0.006337,0.006337,0.006337
76,27334.1,0.59256,0.45048,1.07479,0.99314,0.98939,0.99034,0.97862,0.21745,0.11636,0.75614,0.0062875,0.0062875,0.0062875
77,27653.1,0.58571,0.44306,1.06948,0.99325,0.98934,0.99033,0.97865,0.21739,0.11607,0.75606,0.006238,0.006238,0.006238
78,27976.2,0.58494,0.44582,1.06834,0.99351,0.98922,0.99039,0.97871,0.21721,0.1159,0.75595,0.0061885,0.0061885,0.0061885
79,28312.2,0.58093,0.44079,1.06753,0.99331,0.98923,0.99039,0.97887,0.21739,0.11587,0.75592,0.006139,0.006139,0.006139
80,28643.5,0.57761,0.43434,1.06281,0.99357,0.98922,0.99039,0.97896,0.21694,0.11567,0.75578,0.0060895,0.0060895,0.0060895
81,28973.7,0.58249,0.44171,1.07021,0.99403,0.98882,0.9904,0.97903,0.21671,0.11542,0.75568,0.00604,0.00604,0.00604
82,29306.8,0.58095,0.44191,1.06846,0.99406,0.98871,0.99037,0.97902,0.2165,0.1153,0.75561,0.0059905,0.0059905,0.0059905
83,29630.7,0.58054,0.4365,1.07136,0.99396,0.98881,0.99038,0.97896,0.21635,0.11522,0.75555,0.005941,0.005941,0.005941
84,29962.2,0.57895,0.44266,1.06648,0.99402,0.98871,0.99042,0.97905,0.21574,0.11504,0.75542,0.0058915,0.0058915,0.0058915
85,30285.2,0.57828,0.44094,1.0679,0.99397,0.98861,0.99043,0.97909,0.21503,0.11498,0.75521,0.005842,0.005842,0.005842
86,30617.6,0.57468,0.43306,1.06535,0.99305,0.98945,0.99044,0.97917,0.21461,0.11495,0.75513,0.0057925,0.0057925,0.0057925
87,30953,0.57293,0.436,1.06497,0.99338,0.98901,0.99044,0.97918,0.21367,0.11485,0.75484,0.005743,0.005743,0.005743
88,31274.4,0.57313,0.43103,1.06435,0.99347,0.98893,0.99046,0.9793,0.21244,0.11454,0.75448,0.0056935,0.0056935,0.0056935
89,31601.5,0.57548,0.43839,1.06418,0.99251,0.98983,0.99045,0.97937,0.21166,0.1142,0.75431,0.005644,0.005644,0.005644
90,31927.7,0.56787,0.43204,1.05992,0.99265,0.98999,0.99048,0.97943,0.21123,0.11433,0.7542,0.0055945,0.0055945,0.0055945
91,32255.1,0.57035,0.43686,1.06211,0.99269,0.99014,0.99049,0.97962,0.21055,0.11409,0.75405,0.005545,0.005545,0.005545
92,32581,0.57179,0.43883,1.06453,0.9928,0.98984,0.99053,0.97963,0.20972,0.11388,0.75387,0.0054955,0.0054955,0.0054955
93,32899.3,0.57379,0.43217,1.0613,0.99274,0.99006,0.99055,0.97971,0.20876,0.11333,0.75366,0.005446,0.005446,0.005446
94,33223.2,0.56689,0.43349,1.05992,0.99301,0.98993,0.99056,0.9798,0.20789,0.11313,0.75344,0.0053965,0.0053965,0.0053965
95,33567,0.56802,0.43144,1.06354,0.99302,0.98997,0.99055,0.97986,0.20714,0.11291,0.75324,0.005347,0.005347,0.005347
96,33906.4,0.57069,0.43307,1.05783,0.99317,0.98996,0.99055,0.97989,0.20651,0.11264,0.75303,0.0052975,0.0052975,0.0052975
97,34253.7,0.5595,0.42072,1.05408,0.9933,0.98984,0.99058,0.9799,0.20604,0.11216,0.75282,0.005248,0.005248,0.005248
98,34617.7,0.55725,0.42259,1.05509,0.99325,0.98988,0.99055,0.97992,0.20549,0.11217,0.75265,0.0051985,0.0051985,0.0051985
99,34955.3,0.56282,0.42553,1.05863,0.99318,0.98991,0.99056,0.97997,0.20481,0.11186,0.75248,0.005149,0.005149,0.005149
100,35281.5,0.56046,0.42731,1.05598,0.99331,0.98991,0.99062,0.98002,0.20398,0.11157,0.75222,0.0050995,0.0050995,0.0050995
101,35616.2,0.56157,0.42708,1.05549,0.99332,0.98994,0.99058,0.98007,0.20307,0.11133,0.752,0.00505,0.00505,0.00505
102,35955.6,0.55859,0.42516,1.05325,0.9932,0.98989,0.99063,0.98008,0.20216,0.11097,0.75182,0.0050005,0.0050005,0.0050005
103,36294,0.55518,0.42356,1.05406,0.99337,0.98996,0.99064,0.98013,0.20165,0.11111,0.75168,0.004951,0.004951,0.004951
104,36630.7,0.55418,0.41964,1.05296,0.99346,0.98981,0.99065,0.98023,0.20094,0.11077,0.75149,0.0049015,0.0049015,0.0049015
105,36960.3,0.55567,0.42346,1.0542,0.99375,0.98958,0.99062,0.98032,0.20025,0.11034,0.7513,0.004852,0.004852,0.004852
106,37299.4,0.55259,0.41469,1.05116,0.99366,0.98987,0.99066,0.98034,0.19968,0.11032,0.75111,0.0048025,0.0048025,0.0048025
107,37647.7,0.55249,0.41903,1.05356,0.99372,0.98984,0.99069,0.98045,0.1991,0.1101,0.75101,0.004753,0.004753,0.004753
108,37984.6,0.55528,0.41709,1.05097,0.99361,0.98988,0.99069,0.98051,0.19841,0.10977,0.75084,0.0047035,0.0047035,0.0047035
109,38321.1,0.5482,0.41333,1.05064,0.99375,0.98992,0.99068,0.98057,0.19797,0.10962,0.75072,0.004654,0.004654,0.004654
110,38656.2,0.55005,0.41275,1.05064,0.99372,0.99,0.99069,0.98061,0.19703,0.10939,0.75049,0.0046045,0.0046045,0.0046045
111,39006.3,0.54514,0.41055,1.04719,0.99386,0.98996,0.99068,0.9806,0.19636,0.10906,0.75032,0.004555,0.004555,0.004555
112,39355.2,0.54531,0.41593,1.04643,0.9939,0.98992,0.99068,0.98062,0.19576,0.10892,0.75017,0.0045055,0.0045055,0.0045055
113,39715.6,0.54216,0.4106,1.04562,0.99392,0.98987,0.9907,0.98075,0.19513,0.10879,0.75001,0.004456,0.004456,0.004456
114,40059.5,0.54325,0.4072,1.04675,0.99392,0.98998,0.9907,0.98076,0.19445,0.10848,0.74987,0.0044065,0.0044065,0.0044065
115,40397.5,0.53586,0.40665,1.04247,0.99391,0.98995,0.99073,0.98071,0.19383,0.10808,0.74976,0.004357,0.004357,0.004357
116,40735.2,0.54334,0.41372,1.048,0.99408,0.98995,0.99077,0.98081,0.19346,0.10798,0.7496,0.0043075,0.0043075,0.0043075
117,41069.8,0.53859,0.40217,1.04334,0.9939,0.98996,0.99078,0.9808,0.19304,0.10787,0.74946,0.004258,0.004258,0.004258
118,41447.1,0.53871,0.40673,1.04365,0.99378,0.99002,0.9908,0.98088,0.19242,0.10733,0.74932,0.0042085,0.0042085,0.0042085
119,41807.7,0.53018,0.39955,1.04307,0.99368,0.99002,0.9908,0.98095,0.19201,0.10728,0.74923,0.004159,0.004159,0.004159
120,42151.5,0.53392,0.40257,1.04126,0.99354,0.99005,0.99081,0.9809,0.19155,0.10712,0.74905,0.0041095,0.0041095,0.0041095
121,42499.2,0.53396,0.40223,1.04383,0.99363,0.99007,0.99084,0.98099,0.19108,0.10691,0.74893,0.00406,0.00406,0.00406
122,42858.6,0.52939,0.4003,1.03867,0.99372,0.99017,0.99084,0.98097,0.19092,0.10692,0.74885,0.0040105,0.0040105,0.0040105
123,43216.1,0.53114,0.39831,1.03667,0.99365,0.99009,0.99086,0.98099,0.19043,0.1068,0.74872,0.003961,0.003961,0.003961
124,43573.6,0.53048,0.39839,1.03958,0.99374,0.99013,0.99085,0.98107,0.19012,0.10667,0.74859,0.0039115,0.0039115,0.0039115
125,43918.7,0.53088,0.39857,1.04054,0.99393,0.98998,0.99084,0.98106,0.18975,0.10643,0.74844,0.003862,0.003862,0.003862
126,44284.3,0.52757,0.39702,1.03763,0.99377,0.98999,0.99086,0.9812,0.18898,0.10596,0.74822,0.0038125,0.0038125,0.0038125
127,44630.1,0.52222,0.39055,1.03561,0.99381,0.99014,0.99087,0.98117,0.1883,0.10572,0.748,0.003763,0.003763,0.003763
128,44978.9,0.52486,0.38844,1.03529,0.99372,0.99018,0.99093,0.98128,0.18754,0.10542,0.74777,0.0037135,0.0037135,0.0037135
129,45332.4,0.52104,0.39333,1.03368,0.9939,0.99017,0.99095,0.98128,0.18669,0.10518,0.74749,0.003664,0.003664,0.003664
130,45686.8,0.52221,0.39014,1.03633,0.99375,0.99032,0.99091,0.98139,0.18617,0.10489,0.74736,0.0036145,0.0036145,0.0036145
131,46037.6,0.52008,0.38972,1.03489,0.99367,0.99034,0.99097,0.98138,0.18581,0.10481,0.74722,0.003565,0.003565,0.003565
132,46391.6,0.51938,0.3919,1.03276,0.99383,0.9903,0.991,0.98147,0.18533,0.10458,0.74706,0.0035155,0.0035155,0.0035155
133,46739.2,0.51933,0.39247,1.03357,0.99396,0.9903,0.99093,0.98151,0.18462,0.1042,0.74689,0.003466,0.003466,0.003466
134,47093.2,0.5155,0.38684,1.03453,0.99404,0.99031,0.99097,0.98149,0.18406,0.10403,0.74681,0.0034165,0.0034165,0.0034165
135,47439.9,0.51017,0.3848,1.02835,0.99404,0.99032,0.99098,0.98152,0.18339,0.10378,0.74664,0.003367,0.003367,0.003367
136,47807.9,0.51423,0.38376,1.03165,0.9943,0.99029,0.991,0.98156,0.18278,0.10371,0.7465,0.0033175,0.0033175,0.0033175
137,48172.4,0.50583,0.38326,1.02646,0.99424,0.99022,0.991,0.98163,0.18214,0.10345,0.74637,0.003268,0.003268,0.003268
138,48525.5,0.51236,0.38103,1.02787,0.99436,0.99017,0.99101,0.98172,0.18165,0.10322,0.74627,0.0032185,0.0032185,0.0032185
139,48888.2,0.50507,0.37734,1.02535,0.99438,0.99032,0.99103,0.98179,0.18119,0.10305,0.74614,0.003169,0.003169,0.003169
140,49232.8,0.50185,0.38056,1.02395,0.99434,0.9903,0.99102,0.98168,0.18095,0.10286,0.74608,0.0031195,0.0031195,0.0031195
141,49585,0.50541,0.38127,1.02929,0.99424,0.99038,0.99102,0.98179,0.18048,0.10281,0.74596,0.00307,0.00307,0.00307
142,49945.6,0.5027,0.37533,1.02523,0.99428,0.99042,0.99104,0.98187,0.18,0.10254,0.74591,0.0030205,0.0030205,0.0030205
143,50298.3,0.50409,0.38114,1.0264,0.99417,0.99035,0.99101,0.98183,0.17948,0.10251,0.74581,0.002971,0.002971,0.002971
144,50652.6,0.49614,0.36756,1.02296,0.99411,0.99046,0.99108,0.98188,0.17921,0.10241,0.74577,0.0029215,0.0029215,0.0029215
145,51005.4,0.49812,0.37222,1.02148,0.99411,0.99049,0.99107,0.98192,0.17865,0.10228,0.74558,0.002872,0.002872,0.002872
146,51349.5,0.49418,0.36597,1.01951,0.99406,0.99049,0.99109,0.98201,0.17803,0.10204,0.7454,0.0028225,0.0028225,0.0028225
147,51694.4,0.49151,0.36794,1.01891,0.9941,0.99051,0.9911,0.98206,0.17757,0.10183,0.74525,0.002773,0.002773,0.002773
148,52047.8,0.4921,0.36195,1.01924,0.99409,0.99051,0.9911,0.98219,0.17681,0.10159,0.74504,0.0027235,0.0027235,0.0027235
149,52404.4,0.49342,0.37398,1.02154,0.99415,0.99059,0.99112,0.98221,0.17622,0.10142,0.74487,0.002674,0.002674,0.002674
150,52768.3,0.49081,0.36612,1.01862,0.9941,0.99066,0.99109,0.98228,0.17537,0.1013,0.74471,0.0026245,0.0026245,0.0026245
151,53136.3,0.48925,0.36533,1.01711,0.99412,0.99076,0.99111,0.98236,0.17444,0.10088,0.74448,0.002575,0.002575,0.002575
152,53495.4,0.489,0.36743,1.01616,0.99417,0.99061,0.99111,0.98232,0.17389,0.10074,0.74433,0.0025255,0.0025255,0.0025255
153,53866.7,0.49103,0.36184,1.01748,0.99411,0.9906,0.99112,0.98232,0.1735,0.10047,0.74419,0.002476,0.002476,0.002476
