epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4657.92,0.51221,0.37827,0.98171,0.99249,0.98655,0.98958,0.96906,0.25531,0.14268,0.7365,0.008053,0.008053,0.008053
61,4734.88,0.51202,0.37994,0.98024,0.99236,0.98785,0.98943,0.97068,0.24889,0.13738,0.73303,0.00802,0.00802,0.00802
62,4812.39,0.50786,0.37819,0.97892,0.99225,0.98837,0.98954,0.97058,0.25106,0.13815,0.73491,0.007987,0.007987,0.007987
63,4890.19,0.50837,0.37682,0.97845,0.99294,0.98818,0.98951,0.97018,0.25058,0.13765,0.73335,0.007954,0.007954,0.007954
64,4966.41,0.51359,0.3812,0.97901,0.99138,0.98847,0.9894,0.97098,0.24821,0.13643,0.73241,0.007921,0.007921,0.007921
65,5043.25,0.50787,0.38054,0.97861,0.99333,0.98806,0.98984,0.97175,0.24583,0.13543,0.73242,0.007888,0.007888,0.007888
66,5120.03,0.51064,0.37626,0.98045,0.99043,0.98829,0.98942,0.97037,0.25022,0.13424,0.73364,0.007855,0.007855,0.007855
67,5197.28,0.50828,0.37503,0.97818,0.99387,0.98739,0.98986,0.97151,0.24617,0.13753,0.73225,0.007822,0.007822,0.007822
68,5275.25,0.50857,0.37406,0.97759,0.99382,0.98749,0.98993,0.97138,0.24592,0.13334,0.73184,0.007789,0.007789,0.007789
69,5352.36,0.50644,0.3744,0.97417,0.99244,0.98826,0.98973,0.97152,0.24516,0.13265,0.7316,0.007756,0.007756,0.007756
70,5429.5,0.50952,0.37688,0.97971,0.99361,0.98824,0.98974,0.97127,0.24515,0.13311,0.73131,0.007723,0.007723,0.007723
71,5506.71,0.5067,0.37452,0.97652,0.99303,0.98857,0.99004,0.97146,0.24657,0.13207,0.73158,0.00769,0.00769,0.00769
72,5583.03,0.5054,0.37587,0.9742,0.99386,0.98813,0.98995,0.97138,0.24609,0.13209,0.73096,0.007657,0.007657,0.007657
73,5659.65,0.5041,0.37389,0.97559,0.9927,0.98841,0.98974,0.97185,0.24403,0.13095,0.73106,0.007624,0.007624,0.007624
74,5736.93,0.50595,0.37211,0.9737,0.99263,0.98868,0.98999,0.97201,0.24381,0.12955,0.73074,0.007591,0.007591,0.007591
75,5813.99,0.50444,0.37833,0.97637,0.99391,0.98773,0.98977,0.9721,0.24307,0.12861,0.73062,0.007558,0.007558,0.007558
76,5890.34,0.49924,0.36811,0.97534,0.99293,0.98854,0.98974,0.97218,0.24336,0.12892,0.73103,0.007525,0.007525,0.007525
77,5967.15,0.50381,0.37028,0.97445,0.9931,0.98864,0.98994,0.97212,0.24205,0.12842,0.73004,0.007492,0.007492,0.007492
78,6044.3,0.50787,0.3719,0.97713,0.99409,0.98798,0.99,0.97285,0.2409,0.1288,0.72992,0.007459,0.007459,0.007459
79,6120.75,0.50272,0.37117,0.97759,0.99253,0.98904,0.98985,0.97275,0.24057,0.12792,0.72979,0.007426,0.007426,0.007426
80,6196.51,0.50177,0.36561,0.97468,0.99298,0.9884,0.98981,0.97275,0.24083,0.12732,0.72959,0.007393,0.007393,0.007393
